title,emulator,download_link
"Alien Hominid (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Alien%20Hominid%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Altered Beast - Guardian of the Realms (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Altered%20Beast%20-%20Guardian%20of%20the%20Realms%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"American Dragon - Jake Long - Rise of the Huntsclan (USA  Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/American%20Dragon%20-%20Jake%20Long%20-%20Rise%20of%20the%20Huntsclan%20%28USA%2C%20Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"American Tail  An - Fievel's Gold Rush (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/American%20Tail%2C%20An%20-%20Fievel%27s%20Gold%20Rush%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"American Tail  An - Fievel's Gold Rush (USA) (En Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/American%20Tail%2C%20An%20-%20Fievel%27s%20Gold%20Rush%20%28USA%29%20%28En%2CEs%29.zip"
"Animaniacs - Lights  Camera  Action! (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Animaniacs%20-%20Lights%2C%20Camera%2C%20Action%21%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Ant Bully  The (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Ant%20Bully%2C%20The%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Antz - Extreme Racing (Europe) (En Fr De Es It Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Antz%20-%20Extreme%20Racing%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip"
"Army Men - Operation Green (USA) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Army%20Men%20-%20Operation%20Green%20%28USA%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Army Men Advance (USA  Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Army%20Men%20Advance%20%28USA%2C%20Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Around the World in 80 Days (Europe) (En Fr De Es It Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Around%20the%20World%20in%2080%20Days%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip"
"Arthur and the Invisibles (USA) (En Fr Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Arthur%20and%20the%20Invisibles%20%28USA%29%20%28En%2CFr%2CEs%29.zip"
"Arthur and the Minimoys (Europe) (En Fr De Es It Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Arthur%20and%20the%20Minimoys%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip"
"Asterix & Obelix - Bash Them All! (Europe) (En Fr De Es It Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Asterix%20%26%20Obelix%20-%20Bash%20Them%20All%21%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip"
"Asterix & Obelix XXL (Europe) (En Fr De Es It Nl) (Beta 2)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Asterix%20%26%20Obelix%20XXL%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29%20%28Beta%202%29.zip"
